tier,rank,source,target,confidence,novelty,therapeutic_score,source_drugs,target_drugs,system
1,1,CDK6,JAK2,0.7175,NOVEL,0.7175,"Palbociclib, Ribociclib, Abemaciclib","Ruxolitinib, Fedratinib",Biological
1,2,CDK6,PIK3CA,0.7175,NOVEL,0.7175,"Palbociclib, Ribociclib, Abemaciclib",Alpelisib,Biological
1,3,PIK3CA,JAK2,0.7167447697506837,NOVEL,0.7167,Alpelisib,"Ruxolitinib, Fedratinib",Biological
1,4,JAK2,PIK3CA,0.7167447697506837,NOVEL,0.7167,"Ruxolitinib, Fedratinib",Alpelisib,Biological
1,5,EGFR,RAF1,0.7105365797558427,NOVEL,0.7105,"Erlotinib, Gefitinib, Afatinib, Osimertinib, Cetuximab",Sorafenib,Biological
1,6,EGFR,BRAF,0.7105365797558427,NOVEL,0.7105,"Erlotinib, Gefitinib, Afatinib, Osimertinib, Cetuximab","Vemurafenib, Dabrafenib, Encorafenib",Biological
1,7,AKT1,KRAS,0.707862960393727,NOVEL,0.7079,Capivasertib (Truqap),"Sotorasib, Adagrasib",Biological
1,8,EGFR,BCL2,0.7008864814908244,NOVEL,0.7009,"Erlotinib, Gefitinib, Afatinib, Osimertinib, Cetuximab",Venetoclax,Biological
1,9,AKT1,BRAF,0.6997680178284645,NOVEL,0.6998,Capivasertib (Truqap),"Vemurafenib, Dabrafenib, Encorafenib",Biological
1,10,AKT1,RAF1,0.6997680178284645,NOVEL,0.6998,Capivasertib (Truqap),Sorafenib,Biological
1,11,PIK3CA,BCL2,0.6977701384337992,NOVEL,0.6978,Alpelisib,Venetoclax,Biological
1,12,EGFR,BRAF,0.6838125,NOVEL,0.6838,"Erlotinib, Gefitinib, Afatinib, Osimertinib, Cetuximab","Vemurafenib, Dabrafenib, Encorafenib",Text
1,13,EGFR,RAF1,0.6838125,NOVEL,0.6838,"Erlotinib, Gefitinib, Afatinib, Osimertinib, Cetuximab",Sorafenib,Text
1,14,PIK3CA,KRAS,0.6773156250000001,NOVEL,0.6773,Alpelisib,"Sotorasib, Adagrasib",Text
1,15,PIK3CA,BCL2,0.6721250000000001,NOVEL,0.6721,Alpelisib,Venetoclax,Text
1,16,MET,BRAF,0.6697875,NOVEL,0.6698,"Capmatinib, Tepotinib","Vemurafenib, Dabrafenib, Encorafenib",Text
1,17,MET,RAF1,0.6697875,NOVEL,0.6698,"Capmatinib, Tepotinib",Sorafenib,Text
1,18,EGFR,BCL2,0.6674500000000001,NOVEL,0.6675,"Erlotinib, Gefitinib, Afatinib, Osimertinib, Cetuximab",Venetoclax,Text
1,19,ERBB2,BRAF,0.6651125,NOVEL,0.6651,"Trastuzumab, Pertuzumab, Ado-trastuzumab, Lapatinib","Vemurafenib, Dabrafenib, Encorafenib",Text
1,20,ERBB2,RAF1,0.6651125,NOVEL,0.6651,"Trastuzumab, Pertuzumab, Ado-trastuzumab, Lapatinib",Sorafenib,Text
1,21,PIK3CA,BRAF,0.6648375,NOVEL,0.6648,Alpelisib,"Vemurafenib, Dabrafenib, Encorafenib",Text
2,22,BRAF,MYC,0.7294815116524698,NOVEL,0.3647,"Vemurafenib, Dabrafenib, Encorafenib","Indirect: BET inhibitors - clinical trials, CDK7 inhibitors",Biological
2,23,MTOR,CHEK2,0.7181875000000001,NOVEL,0.3591,"Everolimus, Temsirolimus",Indirect: CHK1 inhibitors - clinical trials,Biological
2,24,BRCA2,JAK2,0.7175,NOVEL,0.3588,"Indirect: PARP inhibitors (Olaparib, Rucaparib)","Ruxolitinib, Fedratinib",Biological
2,25,NRAS,CDK6,0.7175,NOVEL,0.3588,Indirect: MEK inhibitors (Trametinib),"Palbociclib, Ribociclib, Abemaciclib",Biological
2,26,CHEK2,CDK6,0.7175,NOVEL,0.3588,Indirect: CHK1 inhibitors - clinical trials,"Palbociclib, Ribociclib, Abemaciclib",Biological
2,27,CHEK2,JAK2,0.7175,NOVEL,0.3588,Indirect: CHK1 inhibitors - clinical trials,"Ruxolitinib, Fedratinib",Biological
2,28,PIK3CA,NRAS,0.7175,NOVEL,0.3588,Alpelisib,Indirect: MEK inhibitors (Trametinib),Biological
2,29,NRAS,PIK3CA,0.7175,NOVEL,0.3588,Indirect: MEK inhibitors (Trametinib),Alpelisib,Biological
2,30,RAD51,PIK3CA,0.7175,NOVEL,0.3588,Indirect: PARP inhibitors,Alpelisib,Biological
2,31,CHEK2,PIK3CA,0.7162295026056926,NOVEL,0.3581,Indirect: CHK1 inhibitors - clinical trials,Alpelisib,Biological
2,32,PIK3CA,CHEK2,0.7162295026056926,NOVEL,0.3581,Alpelisib,Indirect: CHK1 inhibitors - clinical trials,Biological
2,33,CDK6,RAD51,0.7136416720360825,NOVEL,0.3568,"Palbociclib, Ribociclib, Abemaciclib",Indirect: PARP inhibitors,Biological
2,34,RAD51,CDK6,0.7136416720360825,NOVEL,0.3568,Indirect: PARP inhibitors,"Palbociclib, Ribociclib, Abemaciclib",Biological
2,35,RAD51,JAK2,0.7102086018041238,NOVEL,0.3551,Indirect: PARP inhibitors,"Ruxolitinib, Fedratinib",Biological
2,36,CHEK2,KRAS,0.7091673892736434,NOVEL,0.3546,Indirect: CHK1 inhibitors - clinical trials,"Sotorasib, Adagrasib",Biological
2,37,BRAF,ERK2,0.7034476396184415,NOVEL,0.3517,"Vemurafenib, Dabrafenib, Encorafenib",None,Biological
2,38,BRAF,ERK1,0.7034476396184415,NOVEL,0.3517,"Vemurafenib, Dabrafenib, Encorafenib",None,Biological
